,===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
0,===,0,INIT-START,0,0.0001179373974339122,0.0,1572535172.526799,0,39340.0,0.0, ===
1,===,1,INIT-STOP,0,0.026650635345588685,0.0,1572535172.551546,0,42076.0,0.0, ===
2,===,2,INIT,0,0.02668387224850188,0.024818,1572535172.551575,0,42240.0,0.0, ===
3,===,3,ITER,0,0.0267138926769396,0.0,1572535172.551605,1,42240.0,0.0, ===
4,===,4,FAILURE-CHECK-START,0,0.026738552314584874,0.0,1572535172.551627,1,42244.0,0.0, ===
5,===,5,FAILURE-CHECK-STOP,0,0.04240063869380842,0.0,1572535172.566236,1,42244.0,0.0, ===
6,===,6,FAILURE-CHECK,0,0.04243065912224613,0.014649,1572535172.5662642,1,42280.0,0.0, ===
7,===,7,ITER,0,0.9513656038801396,0.0,1572535173.414026,101,47808.0,1885.15625, ===
8,===,8,ITER,0,1.582084083775117,0.0,1572535174.0022962,201,47964.0,3770.3125, ===
9,===,9,ITER,0,2.2880026647484324,0.0,1572535174.660705,301,47964.0,5655.46875, ===
10,===,10,ITER,0,2.867378706907794,0.0,1572535175.2010882,401,47964.0,7540.625, ===
11,===,11,ITER,0,3.445548571138854,0.0,1572535175.7403462,501,47964.0,9425.78125, ===
12,===,12,FAILURE-CHECK-START,0,3.445611828470205,0.0,1572535175.740405,501,47964.0,9425.78125, ===
13,===,13,FAILURE-CHECK-STOP,0,3.445864857795609,0.0,1572535175.740641,501,47964.0,9425.78125, ===
14,===,14,FAILURE-CHECK,0,3.445903455489314,0.000309,1572535175.7406769,501,47964.0,9425.78125, ===
15,===,15,ITER,0,4.0249085309258374,0.0,1572535176.280714,601,47964.0,11310.9375, ===
16,===,16,ITER,0,4.603082683789533,0.0,1572535176.819975,701,47964.0,13196.09375, ===
17,===,17,ITER,0,5.180530985579929,0.0,1572535177.358561,801,47964.0,15081.25, ===
18,===,18,ITER,0,5.759122207967276,0.0,1572535177.898212,901,47964.0,16966.40625, ===
19,===,19,ITER,0,6.433170887679473,0.0,1572535178.526896,1001,47964.0,18851.5625, ===
20,===,20,FAILURE-CHECK-START,0,6.433209485373179,0.0,1572535178.526932,1001,47964.0,18851.5625, ===
21,===,21,FAILURE-CHECK-STOP,0,6.4334142675814485,0.0,1572535178.527123,1001,47964.0,18851.5625, ===
22,===,22,FAILURE-CHECK,0,6.433449648800679,0.000242,1572535178.527156,1001,47964.0,18851.5625, ===
23,===,23,ITER,0,7.141052590240984,0.0,1572535179.187136,1101,47964.0,20736.71875, ===
24,===,24,ITER,0,7.719617008674367,0.0,1572535179.7267618,1201,47964.0,22621.875, ===
25,===,25,ITER,0,8.298402291688403,0.0,1572535180.266593,1301,47964.0,24507.03125, ===
26,===,26,ITER,0,8.877733303205106,0.0,1572535180.8069339,1401,47964.0,26392.1875, ===
27,===,27,ITER,0,9.485824957323308,0.0,1572535181.374101,1501,47964.0,28277.34375, ===
28,===,28,FAILURE-CHECK-START,0,9.485869987965964,0.0,1572535181.374143,1501,48124.0,28277.34375, ===
29,===,29,FAILURE-CHECK-STOP,0,9.486026523057104,0.0,1572535181.374289,1501,48124.0,28277.34375, ===
30,===,30,FAILURE-CHECK,0,9.486052254852908,0.00018899999999999999,1572535181.374313,1501,48124.0,28277.34375, ===
31,===,31,ITER,0,10.088922498739263,0.0,1572535181.936609,1601,48124.0,30162.5, ===
32,===,32,ITER,0,10.667417226892347,0.0,1572535182.4761698,1701,48320.0,32047.65625, ===
33,===,33,ITER,0,11.247019494423148,0.0,1572535183.0167642,1801,48512.0,33932.8125, ===
34,===,34,ITER,0,11.94721918377908,0.0,1572535183.6698391,1901,48708.0,35817.96875, ===
35,===,35,ITER,0,12.54672713968041,0.0,1572535184.228998,2001,48900.0,37703.125, ===
36,===,36,FAILURE-CHECK-START,0,12.5467893248536,0.0,1572535184.229057,2001,49096.0,37703.125, ===
37,===,37,FAILURE-CHECK-STOP,0,12.54696837526607,0.0,1572535184.229223,2001,49096.0,37703.125, ===
38,===,38,FAILURE-CHECK,0,12.547000540010824,0.00022799999999999999,1572535184.2292528,2001,49096.0,37703.125, ===
