,===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
0,===,0,INIT-START,0,0.00011443157744211045,0.0,1572902253.516725,0,39308.0,0.0, ===
1,===,1,INIT-STOP,0,0.005216430467180891,0.0,1572902253.521674,0,42060.0,0.0, ===
2,===,2,INIT,0,0.005252512496104079,0.005023,1572902253.521707,0,42224.0,0.0, ===
3,===,3,ITER,0,0.005285501779690994,0.0,1572902253.521741,1,42224.0,0.0, ===
4,===,4,FAILURE-CHECK-START,0,0.005311274657493271,0.0,1572902253.521766,1,42228.0,0.0, ===
5,===,5,FAILURE-CHECK-STOP,0,0.030839825578204805,0.0,1572902253.5465288,1,42228.0,0.0, ===
6,===,6,FAILURE-CHECK,0,0.030876938522240084,0.024814,1572902253.546565,1,42264.0,0.0, ===
7,===,7,ITER,0,0.8638542872616126,0.0,1572902254.354532,101,47652.0,1885.15625, ===
8,===,8,ITER,0,1.6534723773015463,0.0,1572902255.120501,201,47920.0,3770.3125, ===
9,===,9,ITER,0,2.3739913201233507,0.0,1572902255.8194141,301,47920.0,5655.46875, ===
10,===,10,ITER,0,2.951614088343098,0.0,1572902256.379715,401,47920.0,7540.625, ===
11,===,11,ITER,0,3.7399043597186576,0.0,1572902257.144366,501,47920.0,9425.78125, ===
12,===,12,FAILURE-CHECK-START,0,3.7399507508987027,0.0,1572902257.14441,501,47920.0,9425.78125, ===
13,===,13,FAILURE-CHECK-STOP,0,3.7400672443063683,0.0,1572902257.144524,501,47920.0,9425.78125, ===
14,===,14,FAILURE-CHECK,0,3.7401105427410757,0.000173,1572902257.144566,501,47920.0,9425.78125, ===
15,===,15,ITER,0,4.302910813479177,0.0,1572902257.690489,601,47920.0,11310.9375, ===
16,===,16,ITER,0,4.857427681291627,0.0,1572902258.2283769,701,47920.0,13196.09375, ===
17,===,17,ITER,0,5.568510658092462,0.0,1572902258.918135,801,47920.0,15081.25, ===
18,===,18,ITER,0,6.166962035236897,0.0,1572902259.49864,901,47920.0,16966.40625, ===
19,===,19,ITER,0,6.7216675605148595,0.0,1572902260.036712,1001,47920.0,18851.5625, ===
20,===,20,FAILURE-CHECK-START,0,6.721707766204232,0.0,1572902260.036751,1001,47920.0,18851.5625, ===
21,===,21,FAILURE-CHECK-STOP,0,6.721871681707054,0.0,1572902260.03691,1001,47920.0,18851.5625, ===
22,===,22,FAILURE-CHECK,0,6.7219057019057535,0.00020800000000000001,1572902260.036943,1001,47920.0,18851.5625, ===
23,===,23,ITER,0,7.345845424281527,0.0,1572902260.642172,1101,47920.0,20736.71875, ===
24,===,24,ITER,0,8.02003607288107,0.0,1572902261.296144,1201,47920.0,22621.875, ===
25,===,25,ITER,0,8.575619937834533,0.0,1572902261.835068,1301,47920.0,24507.03125, ===
26,===,26,ITER,0,9.130066703419363,0.0,1572902262.372888,1401,47920.0,26392.1875, ===
