,===,EVENT_SEQ,EVENT_TYPE,RANK,TIME,DURATION,WALLTIME,ITER,MEM,NET,EXTRA
0,===,0,INIT-START,0,0.0005717637998421429,0.0,1572902138.020966,0,39396.0,0.0, ===
1,===,1,INIT-STOP,0,0.03280824943913372,0.0,1572902138.052743,0,42092.0,0.0, ===
2,===,2,INIT,0,0.03241274496150936,0.031845,1572902138.052767,0,42256.0,0.0, ===
3,===,3,ITER,0,0.030410294606930195,0.0,1572902138.052793,1,42256.0,0.0, ===
4,===,4,FAILURE-CHECK-START,0,0.029678327839476083,0.0,1572902138.0528119,1,42260.0,0.0, ===
5,===,5,FAILURE-CHECK-STOP,0,0.05873505417438839,0.0,1572902138.076686,1,42260.0,0.0, ===
6,===,6,FAILURE-CHECK,0,0.05750603421632201,0.023916999999999997,1572902138.076717,1,42296.0,0.0, ===
7,===,7,ITER,0,0.9830145110655226,0.0,1572902138.944149,101,47872.0,1885.15625, ===
8,===,8,ITER,0,1.7494758618281698,0.0,1572902139.718296,201,47980.0,3770.3125, ===
9,===,9,ITER,0,2.5347787724757946,0.0,1572902140.485761,301,47980.0,5655.46875, ===
10,===,10,ITER,0,3.088015154212124,0.0,1572902141.212636,401,47980.0,7540.625, ===
11,===,11,ITER,0,3.903494773552564,0.0,1572902141.9104939,501,47980.0,9425.78125, ===
12,===,12,FAILURE-CHECK-START,0,3.872120763935213,0.0,1572902141.910549,501,47980.0,9425.78125, ===
13,===,13,FAILURE-CHECK-STOP,0,3.547142067308812,0.0,1572902141.910747,501,47980.0,9425.78125, ===
14,===,14,FAILURE-CHECK,0,3.456639010252567,0.000266,1572902141.910784,501,47980.0,9425.78125, ===
15,===,15,ITER,0,4.9939440500496035,0.0,1572902142.660533,601,47980.0,11310.9375, ===
16,===,16,ITER,0,6.041081557611492,0.0,1572902143.421796,701,47980.0,13196.09375, ===
17,===,17,ITER,0,6.617851948012319,0.0,1572902144.1285222,801,47980.0,15081.25, ===
18,===,18,ITER,0,6.503440619302623,0.0,1572902144.897591,901,47980.0,16966.40625, ===
